cbo_codigo;descricao_original_fonte;titulo_oficial_cbo2002;grande_grupo;familia_ocupacional;categoria_profissional_agregada;nivel_formacao;universo;incluido_universo_principal;justificativa;fonte_normativa;observacao_ambiguidade;n_registros
212410;Analista de R;Analista de redes e de comunicação de dados;2;2124;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;1
212420;Analista de S;Analista de suporte computacional;2;2124;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;4
212420;Analista de Suporte Computacional;Analista de suporte computacional;2;2124;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;1
214010;;Tecnólogo em meio ambiente;2;2140;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;2
214205;Engenheiro Ci;Engenheiro civil;2;2142;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;1
214405;Eng. Mecânico;Engenheiro mecânico;2;2144;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";Descrição da fonte diverge do título oficial (verificada manualmente);1
214510;Eng. Químico;Engenheiro químico (indústria química);2;2145;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";Descrição da fonte diverge do título oficial (verificada manualmente);1
221105;Biólogo;Biólogo;2;2211;Biologia;superior;multiprofissional;não;"Família 2211 – Biólogos; atuação intersetorial";"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;8
223115;Médico Clínic;(não consta na tabela vigente);2;2231;Medicina;superior;principal;sim;"Família 2231 (Médicos) de versão anterior da CBO 2002; descrição na fonte confirma ocupação médica";"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";"Código ausente da tabela vigente (família reestruturada); validado pela descrição da fonte";2
223122;Médico em Med;(não consta na tabela vigente);2;2231;Medicina;superior;principal;sim;"Família 2231 (Médicos) de versão anterior da CBO 2002; descrição na fonte confirma ocupação médica";"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";"Código ausente da tabela vigente (família reestruturada); validado pela descrição da fonte";2
223132;Médico Gineco;(não consta na tabela vigente);2;2231;Medicina;superior;principal;sim;"Família 2231 (Médicos) de versão anterior da CBO 2002; descrição na fonte confirma ocupação médica";"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";"Código ausente da tabela vigente (família reestruturada); validado pela descrição da fonte";1
223146;Médico Ortope;(não consta na tabela vigente);2;2231;Medicina;superior;principal;sim;"Família 2231 (Médicos) de versão anterior da CBO 2002; descrição na fonte confirma ocupação médica";"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";"Código ausente da tabela vigente (família reestruturada); validado pela descrição da fonte";1
223149;Médico Pediat;(não consta na tabela vigente);2;2231;Medicina;superior;principal;sim;"Família 2231 (Médicos) de versão anterior da CBO 2002; descrição na fonte confirma ocupação médica";"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";"Código ausente da tabela vigente (família reestruturada); validado pela descrição da fonte";2
223208;Cirurgião Dentista - Clínico Geral;Cirurgião dentista - clínico geral;2;2232;Odontologia e saúde bucal;superior;principal;sim;Família 2232 – Cirurgiões-dentistas;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;2
223405;Farmacêutico;Farmacêutico;2;2234;Farmácia;superior;principal;sim;Família 2234 – Farmacêuticos;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;9
223445;;Farmacêutico hospitalar e clínico;2;2234;Farmácia;superior;principal;sim;Família 2234 – Farmacêuticos;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;1
223505;Enfermeiro;Enfermeiro;2;2235;Enfermagem – enfermeiros;superior;principal;sim;Família 2235 – Enfermeiros e afins;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;151
223510;Enfermeiro Au;Enfermeiro auditor;2;2235;Enfermagem – enfermeiros;superior;principal;sim;Família 2235 – Enfermeiros e afins;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;4
223525;Enfermeiro de;Enfermeiro de terapia intensiva;2;2235;Enfermagem – enfermeiros;superior;principal;sim;Família 2235 – Enfermeiros e afins;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;2
223530;Enfermeiro do;Enfermeiro do trabalho;2;2235;Enfermagem – enfermeiros;superior;principal;sim;Família 2235 – Enfermeiros e afins;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;2
223530;Enfermeiro do Trabalho;Enfermeiro do trabalho;2;2235;Enfermagem – enfermeiros;superior;principal;sim;Família 2235 – Enfermeiros e afins;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;1
223545;Enfermeiro Ob;Enfermeiro obstétrico;2;2235;Enfermagem – enfermeiros;superior;principal;sim;Família 2235 – Enfermeiros e afins;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;1
223545;Enfermeiro Obstétrico;Enfermeiro obstétrico;2;2235;Enfermagem – enfermeiros;superior;principal;sim;Família 2235 – Enfermeiros e afins;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;2
223605;Fisioterapeut;Fisioterapeuta geral;2;2236;Fisioterapia;superior;principal;sim;Família 2236 – Fisioterapeutas;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;20
223605;Fisioterapeuta;Fisioterapeuta geral;2;2236;Fisioterapia;superior;principal;sim;Família 2236 – Fisioterapeutas;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;10
223710;Nutricionista;Nutricionista;2;2237;Nutrição;superior;principal;sim;Família 2237 – Nutricionistas;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;7
223810;Fonoaudiólogo;Fonoaudiólogo geral;2;2238;Fonoaudiologia;superior;principal;sim;Família 2238 – Fonoaudiólogos;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;2
224105;Avaliador Fís;Avaliador físico;2;2241;Educação física;superior;multiprofissional;não;"Família 2241 – Profissionais da educação física; atuação intersetorial";"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;2
224105;Avaliador Físico;Avaliador físico;2;2241;Educação física;superior;multiprofissional;não;"Família 2241 – Profissionais da educação física; atuação intersetorial";"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;1
224120;Preparador Fí;Preparador físico;2;2241;Educação física;superior;multiprofissional;não;"Família 2241 – Profissionais da educação física; atuação intersetorial";"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;1
225124;;Médico pediatra;2;2251;Medicina;superior;principal;sim;Família 2251 – Médicos clínicos;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;1
225125;;Médico clínico;2;2251;Medicina;superior;principal;sim;Família 2251 – Médicos clínicos;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;2
225250;;Médico ginecologista e obstetra;2;2252;Medicina;superior;principal;sim;Família 2252 – Médicos em especialidades cirúrgicas;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;1
231105;Prof. (Quatro;Professor de nível superior na educação infantil (quatro a seis anos);2;2311;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";Descrição da fonte diverge do título oficial (verificada manualmente);3
231105;Prof. (Quatro a Seis Anos) de Nível Su;Professor de nível superior na educação infantil (quatro a seis anos);2;2311;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";Descrição da fonte diverge do título oficial (verificada manualmente);1
231110;Prof. (Zero a;Professor de nível superior na educação infantil (zero a três anos);2;2311;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";Descrição da fonte diverge do título oficial (verificada manualmente);1
231205;Prof. Educaçã;Professor da  educação de jovens e adultos do ensino fundamental (primeira a quarta série);2;2312;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";Descrição da fonte diverge do título oficial (verificada manualmente);1
231210;Prof. Nível S;Professor de nível superior do ensino fundamental (primeira a quarta série);2;2312;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";Descrição da fonte diverge do título oficial (verificada manualmente);4
231315;Prof. Educaçã;Professor de educação física do ensino fundamental;2;2313;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";Descrição da fonte diverge do título oficial (verificada manualmente);1
233135;Prof. Tecnolo;Professor de tecnologia e cálculo técnico;2;2331;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";Descrição da fonte diverge do título oficial (verificada manualmente);1
233210;Inst. Aprendi;Instrutor de aprendizagem e treinamento industrial;2;2332;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";Descrição da fonte diverge do título oficial (verificada manualmente);1
234616;Prof. Língua;Professor de língua inglesa;2;2346;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";Descrição da fonte diverge do título oficial (verificada manualmente);2
234616;Prof. Língua Inglesa;Professor de língua inglesa;2;2346;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";Descrição da fonte diverge do título oficial (verificada manualmente);3
239405;Coordenador Pedagógico;Coordenador pedagógico;2;2394;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;1
239410;Orientador Ed;Orientador educacional;2;2394;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;1
239410;Orientador Educacional;Orientador educacional;2;2394;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;1
239415;Pedagogo;Pedagogo;2;2394;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;2
241005;Advogado;Advogado;2;2410;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;1
251510;Psicólogo Clí;Psicólogo clínico;2;2515;Psicologia;superior;multiprofissional;não;"Família 2515 – Psicólogos e psicanalistas; atuação intersetorial";"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;6
251510;Psicólogo Clínico;Psicólogo clínico;2;2515;Psicologia;superior;multiprofissional;não;"Família 2515 – Psicólogos e psicanalistas; atuação intersetorial";"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;3
251605;Assistente So;Assistente social;2;2516;Serviço social;superior;multiprofissional;não;"Família 2516 – Assistentes sociais; atuação intersetorial";"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;3
251605;Assistente Social;Assistente social;2;2516;Serviço social;superior;multiprofissional;não;"Família 2516 – Assistentes sociais; atuação intersetorial";"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;2
252105;Administrador;Administrador;2;2521;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;10
252210;Contador;Contador;2;2522;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;2
252305;Secretária E;Secretária(o) executiva(o);2;2523;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;5
252405;Analista de R;Analista de recursos humanos;2;2524;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;2
252405;Analista de Recursos Humanos;Analista de recursos humanos;2;2524;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;1
252505;Administrador;Administrador de fundos e carteiras de investimento;2;2525;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;1
252715;;Analista de logistica;2;2527;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;2
253210;Gerente Clien;Gerente de clientes especiais (private);2;2532;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;1
253215;Gerente Conta;Gerente de contas - pessoa física e jurídica;2;2532;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;15
253215;Gerente Contas - Pessoa Física e Juríd;Gerente de contas - pessoa física e jurídica;2;2532;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;7
254310;Agente de Higiene e Segurança;Agente de higiene e segurança;2;2543;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;1
261205;Bibliotecário;Bibliotecário;2;2612;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;1
261305;Arquivista;Arquivista;2;2613;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;1
261715;Locutor de Rá;Locutor de mídias audiovisuais;2;2617;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;1
262615;Músico Regent;Músico regente;2;2626;Outras ocupações (fora do campo da saúde);;apoio_ou_outra;não;Família CBO fora do campo da saúde;"CBO 2002 (MTE) – tabela 'CBO2002-Ocupação' (espelho público; ver referencias/fonte_cbo.txt)";;1
